title,label,label_score
masuk radar pilwalkot medan menantu jokowi temu dpw nasdem sumut,non-clickbait,0
malaysia sudut ri isu kabut asap invasi babi,non-clickbait,0
viral driver ojol bekas pesan makan pakai sepeda,clickbait,1
kemensos salur rp m korban rusuh sosial papua,non-clickbait,0
kait mayat bayi enas tangerang pria tangkap polisi,non-clickbait,0
uang rp m raib parkir kantor gubernur sumut honor tapd,non-clickbait,0
mpr amandemen uud lebar manamana,non-clickbait,0
muncul istana rekonsiliasi rusuh papua,non-clickbait,0
ingat islam banyuwangi gelar festival muharam,non-clickbait,0
wanita kendari perkosa jalan makassar laku buru,non-clickbait,0
hnw gbhn jamin rencana bangun ri jangka,non-clickbait,0
motor nyangkut bambu sleman,clickbait,1
jakpro protes adhi karya tender proyek jis wika,non-clickbait,0
pesan gamblang poyuono tolak revisi uu kpk,clickbait,1
mayat ladang tebu malang begal bunuh remaja palak,non-clickbait,0
jenguk bj habibie ketua dewan pers m nuh proses positif bagus,non-clickbait,0
lokasi istana presiden ri papua menit jembatan holtekamp,non-clickbait,0
hias taman asia afrika bandung rusak terjang angin kencang,non-clickbait,0
polemik pb djarum kpai fadli zon mesti musyawarah,non-clickbait,0
acara aju tangguh tahan kivlan zen,non-clickbait,0
pria depresi bakar mobil buang,non-clickbait,0
eksepsi bassist boomerang hubert henry ganja tolak hakim,non-clickbait,0
jenguk bj habibie rspad kepala bppt beliau semangat recovery,non-clickbait,0
jk jenguk habibie rspad gatot soebroto,non-clickbait,0
mobil timpa pohon pondok indah kemudi luka,non-clickbait,0
demokrat bangun museum art gallery sbyani pacitan,non-clickbait,0
mendagri jamin laksana uu otsus papua lanjut,non-clickbait,0
kpk cegah ketua fraksi golkar melchias mekeng negeri,non-clickbait,0
tegas dukung perintah pd kenal oposisi,non-clickbait,0
edar snack izin bongkar omzet bulan capai rp miliar,non-clickbait,0
mayat pria temu kalimalang bekas duga korban tenggelam,non-clickbait,0
pesan anak habibie jenguk mohon erti istirahat,non-clickbait,0
kpk curhat cegah korupsi anggap uang negara selamat,non-clickbait,0
act inisiasi gera nasional indonesiadermawan,non-clickbait,0
demokrat dukung langkah jokowi bangun istana papua,non-clickbait,0
menkum ham kaji draf revisi uu kpk,non-clickbait,0
mpr gelar diskusi evaluasi laksana uud yogyakarta,non-clickbait,0
detikdetik kendara alami celaka untun cipularang,clickbait,1
kocak maling rumah mewah jakut rekam cctv bingung cari jalan kabur,clickbait,1
selidik ular buang asrama papua polisi ganjal akses masuk,non-clickbait,0
kpk tanggap dpr tega hukum ikat komitmen politik,non-clickbait,0
kronologi barista tikam siswi smk bandung cinta tolak,non-clickbait,0
acara dakwa kivlan zen paksa,non-clickbait,0
polisi belanda tembak mati istri putri bunuh,non-clickbait,0
rampok bersebo tembak warga tewas sumsel,non-clickbait,0
tepis sebab tunggal kabut asap ri surati malaysia,non-clickbait,0
jokowi mekar wilayah papua jk undangundangnya,non-clickbait,0
respons jk kpk sp disalahgunakan,non-clickbait,0
luas jabar tantang sintang siap generasi emas,clickbait,1
viral video duga baku tembak sleman polisi,clickbait,1
kad pu pns kabupaten mandailing natal tahan kejat sumut,non-clickbait,0
banding tolak hak politik eks bupati katingan cabut hakim,non-clickbait,0
gadai sk wajar dprd surabaya bank lirik,non-clickbait,0
karyawan pabrik boneka racun polisi sita sayur nangka,non-clickbait,0
celaka untun kendara lenteng agung motor lukaluka,non-clickbait,0
kpk bongkar mafia migas transaksi lintas negara mudah ungkap,non-clickbait,0
awas hong kong aktivis joshua terbang lin,non-clickbait,0
anggota dprd surabaya gadai sk jamin potong gaji,non-clickbait,0
ical jenguk bj habibie rspad doa baik,non-clickbait,0
orang korporasi sangka karhutla sumaterakalimantan,non-clickbait,0
gubernur edy uang miliar milik pemprov hilang,non-clickbait,0
gilir alumni unnes seru tolak revisi uu kpk,non-clickbait,0
fenomena gadai sk anggota dewan dprd serang,non-clickbait,0
akademisi mahasiswa unair tolak revisi uu kpk,non-clickbait,0
pegawai kpk surati fraksi dpr pilih capim lemah kpk,non-clickbait,0
waspada tipu catut pertamina korban rugi puluh juta,clickbait,1
ekoturisme ajar negara,non-clickbait,0
refleksi dpd ri oso daerah,non-clickbait,0
mui riau laku karhutla orang taat agama,non-clickbait,0
gadai sk anggota dprd jabar terima kredit rp miliar,non-clickbait,0
selundup benih lobster tuju singapura gagal makassar,non-clickbait,0
celaka untun truk bakar cipularang orang luka,non-clickbait,0
berita negatif hnw khawatir moral bangsa indonesia,non-clickbait,0
kpk harap jerat eks dirut petral buka kotak pandora mafia migas,non-clickbait,0
hamas tembak jatuh drone israel jalur gaza,non-clickbait,0
jpu berat kivlan zen damping kuasa hukum militer,non-clickbait,0
sangka eks dirut petral duga terima suap usd juta,non-clickbait,0
